category,distance_um,protein_intensity_normalized,fus_intensity_normalized,n_profiles
client_bio,0.05,1.844270380530559,12.957829669024074,32
client_bio,0.15000000000000002,1.8482971469551903,12.827730564884758,32
client_bio,0.25,1.8216574956375586,12.686175645306301,32
client_bio,0.35000000000000003,1.7550691450175901,11.890325159730658,32
client_bio,0.45,1.6546148329479622,10.07610032214582,32
client_bio,0.55,1.5104584107051462,7.258845143374148,32
client_bio,0.6500000000000001,1.3757009478798534,4.773434760194164,32
client_bio,0.7500000000000001,1.2640984859115416,3.0370501730329447,32
client_bio,0.8500000000000001,1.1768715090575967,2.0111098567184604,32
client_bio,0.9500000000000001,1.122643455424942,1.4673705668304713,32
client_bio,1.05,1.088561163417645,1.2169037185717393,32
client_bio,1.1500000000000001,1.0668158478387866,1.101585565571918,32
client_bio,1.2500000000000002,1.0582426050459892,1.051397496098794,32
client_bio,1.35,1.0489284810471668,1.0275619094148636,32
client_bio,1.4500000000000002,1.0406556491214882,1.0181366387592028,32
client_bio,1.55,1.0265362824665865,1.0145535518540454,32
client_bio,1.6500000000000001,1.0155371403464029,1.014349315997068,32
client_bio,1.7500000000000002,1.0100854702302229,1.010514497050555,32
client_bio,1.85,1.0033611232014206,1.0069162153630145,32
client_bio,1.9500000000000002,1.0,1.0,32
client_denovo,0.05,1.4008269861741078,13.338194650305514,14
client_denovo,0.15000000000000002,1.3854153489683882,13.330930476600974,14
client_denovo,0.25,1.3993543604864307,13.137117475991175,14
client_denovo,0.35000000000000003,1.3948605701470318,12.726018258240229,14
client_denovo,0.45,1.3858688454516204,12.264982342435585,14
client_denovo,0.55,1.360723866851522,10.970589771301508,14
client_denovo,0.6500000000000001,1.3231584783489658,9.027519313642335,14
client_denovo,0.7500000000000001,1.2605041692104966,6.553451971057759,14
client_denovo,0.8500000000000001,1.181774495494654,4.309244034407896,14
client_denovo,0.9500000000000001,1.1109587583705611,2.6012794058883926,14
client_denovo,1.05,1.0572190430670803,1.6506192292972484,14
client_denovo,1.1500000000000001,1.0210104162411449,1.2353769799990868,14
client_denovo,1.2500000000000002,1.0065170610198213,1.0930824534054466,14
client_denovo,1.35,1.0014785196623135,1.0437907859634499,14
client_denovo,1.4500000000000002,1.0015690640659722,1.0229659067432426,14
client_denovo,1.55,0.9978324691044037,1.011861063786609,14
client_denovo,1.6500000000000001,0.9941093640010278,1.0071076953008873,14
client_denovo,1.7500000000000002,0.9924006164640041,1.0045207734445103,14
client_denovo,1.85,0.9933964477791125,1.0023419252270953,14
client_denovo,1.9500000000000002,1.0,1.0,14
excluder_bio,0.05,0.909377580473643,16.875829668691665,36
excluder_bio,0.15000000000000002,0.9053740185955783,16.853542558082964,36
excluder_bio,0.25,0.9106589299987247,16.69641099985757,36
excluder_bio,0.35000000000000003,0.912729688229153,16.086973162845542,36
excluder_bio,0.45,0.9284032020954105,14.488370938306891,36
excluder_bio,0.55,0.9553249920833782,11.572608737218319,36
excluder_bio,0.6500000000000001,0.9902386140138594,8.369963711503237,36
excluder_bio,0.7500000000000001,1.0149503319209385,5.37243626381015,36
excluder_bio,0.8500000000000001,1.0284420219879276,3.144506755296234,36
excluder_bio,0.9500000000000001,1.0320704944771617,1.872873052654465,36
excluder_bio,1.05,1.0331469050520639,1.3210364317475054,36
excluder_bio,1.1500000000000001,1.0299988019430684,1.1319066384837417,36
excluder_bio,1.2500000000000002,1.0277667400907242,1.053227554797555,36
excluder_bio,1.35,1.0265622638305147,1.0256057910524676,36
excluder_bio,1.4500000000000002,1.0240632234184086,1.0089036902116495,36
excluder_bio,1.55,1.0224726319336366,1.002764889528943,36
excluder_bio,1.6500000000000001,1.0179401405470183,1.0015675270129272,36
excluder_bio,1.7500000000000002,1.0140563165514673,1.0010905801522656,36
excluder_bio,1.85,1.0061708469016246,1.0006406239284642,36
excluder_bio,1.9500000000000002,1.0,1.0,36
excluder_denovo,0.05,0.9568799967738134,17.006350078620393,30
excluder_denovo,0.15000000000000002,0.9623781510536548,17.041716041257136,30
excluder_denovo,0.25,0.9680059652637569,16.546186933941577,30
excluder_denovo,0.35000000000000003,0.9899729278026039,15.086605956533468,30
excluder_denovo,0.45,1.0286615734049447,12.564252771562028,30
excluder_denovo,0.55,1.0748651986104993,9.13636986906157,30
excluder_denovo,0.6500000000000001,1.1014367207159665,6.42764149861692,30
excluder_denovo,0.7500000000000001,1.111270963080073,4.42285488036393,30
excluder_denovo,0.8500000000000001,1.1124292704566365,3.0000476552561954,30
excluder_denovo,0.9500000000000001,1.1084761799430496,2.0077630638475616,30
excluder_denovo,1.05,1.1020099643808203,1.4177252595663183,30
excluder_denovo,1.1500000000000001,1.0902355809159798,1.17367707051737,30
excluder_denovo,1.2500000000000002,1.0792785566309708,1.070328518374989,30
excluder_denovo,1.35,1.0688485633499332,1.0329197866209698,30
excluder_denovo,1.4500000000000002,1.0555139595257945,1.017900172898822,30
excluder_denovo,1.55,1.0436181407558378,1.0129181362064865,30
excluder_denovo,1.6500000000000001,1.0339137294188097,1.0076983174501302,30
excluder_denovo,1.7500000000000002,1.0232900870522144,1.0026553593155747,30
excluder_denovo,1.85,1.010232706968084,1.003512234539677,30
excluder_denovo,1.9500000000000002,1.0,1.0,30
