category,x_pixel,y_pixel,distance_from_center_um,fus_intensity,fus_normalized,protein_intensity,protein_normalized,rgb_red,rgb_green,rgb_blue,n_blobs,box_size_px,box_size_um,fus_min,fus_max,protein_min,protein_max,ref_pixel_size_um,fus_colormap_type,fus_colorbar_hex,fus_colorbar_label,protein_colormap_type,protein_colorbar_hex,protein_colorbar_label
client_denovo,0,0,2.114249275747776,198.71428571428572,0.003707880822378031,686.1428571428571,0.2753429853146433,0.27534297,0.0017448851,0.003446148,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,1,0,2.0687979601691406,203.35714285714286,0.0054543516856133106,677.0714285714286,0.2540983198158875,0.25409833,0.0025667537,0.0050693387,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,2,0,2.024413495311666,201.0,0.004567682304261377,655.3571428571429,0.20324517125946182,0.20324518,0.0021494976,0.0042452575,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,3,0,1.9811675850366615,197.14285714285714,0.0031167698147359798,687.2857142857143,0.2780193840631796,0.2780194,0.0014667152,0.0028967625,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,4,0,1.9391364057229181,210.07142857142858,0.00798000885277075,673.3571428571429,0.24539973800419249,0.24539974,0.0037552982,0.007416714,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,5,0,1.8984006426463296,205.57142857142858,0.006287279528250357,694.8571428571429,0.2957510260603986,0.29575104,0.0029587199,0.0058434717,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,6,0,1.8590454539897612,206.0,0.0064484926648395915,653.0,0.1977249916359987,0.197725,0.0030345847,0.005993305,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,7,0,1.8211603443958462,199.42857142857142,0.003976571296619325,670.1428571428571,0.23787225931932715,0.23787226,0.0018713276,0.0036958721,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,8,0,1.784838928306977,200.64285714285714,0.0044333370671407295,708.0,0.326530612244898,0.3265306,0.0020862762,0.0041203955,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
client_denovo,9,0,1.7501785623187132,202.5,0.005131925412434841,683.5,0.2691535630645701,0.26915357,0.0024150237,0.0047696717,14,47,3.0,188.85714285714286,2847.285714285714,568.5714285714286,995.5714285714286,0.06499999999999997,black_to_blue,#0078ED,FUS Intensity,black_to_red,#A80000,Protein Intensity
