z,idp1_intensity,idp2_intensity,idp3_intensity,idp4_intensity
-74.5,0.0,0.0,0.1744859259259259,0.13807555555555556
-73.5,0.0,0.0,0.1795585185185185,0.14027703703703703
-72.5,0.0,0.0,0.18054222222222222,0.14385481481481482
-71.5,0.0,0.0,0.17837925925925927,0.1463851851851852
-70.5,0.0,0.0,0.17835703703703704,0.14498666666666665
-69.5,0.0,0.0,0.17794370370370372,0.1465851851851852
-68.5,0.0,0.0,0.17555407407407408,0.1476088888888889
-67.5,0.0,0.0,0.17370814814814814,0.14913333333333334
-66.5,0.0,0.0,0.1705288888888889,0.15001777777777778
-65.5,0.0,0.0,0.16901185185185186,0.15367111111111112
-64.5,0.0,0.0,0.16738222222222224,0.15564
-63.5,0.0,0.0,0.16707259259259258,0.1581451851851852
-62.5,0.0,0.0,0.16412296296296297,0.15980444444444447
-61.5,0.0,0.0,0.16304592592592593,0.16082814814814814
-60.5,0.0,0.0,0.16336296296296296,0.16162666666666667
-59.5,0.0,0.0,0.15882666666666664,0.16264888888888887
-58.5,0.0,0.0,0.1551274074074074,0.16671851851851852
-57.5,0.0,0.0,0.15093037037037038,0.17174222222222224
-56.5,0.0,0.0,0.14945185185185184,0.17328296296296297
-55.5,0.0,0.0,0.14789333333333335,0.17229185185185186
-54.5,0.0,0.0,0.14647851851851854,0.17605925925925928
-53.5,0.0,0.0,0.14678518518518519,0.17638962962962962
-52.5,0.0,0.0,0.14487555555555556,0.17435259259259261
-51.5,0.0,0.0,0.14480444444444446,0.17345185185185183
-50.5,0.0,0.0,0.1455496296296296,0.17722518518518518
-49.5,0.0,0.0,0.1457688888888889,0.17943703703703703
-48.5,0.0,0.0,0.14335851851851852,0.17842666666666668
-47.5,0.0,0.0,0.14094962962962962,0.18195407407407407
-46.5,0.0,0.0,0.1342237037037037,0.1859511111111111
-45.5,0.0,0.0,0.12947259259259258,0.18859555555555554
-44.5,0.0,0.0,0.12618222222222222,0.19325333333333333
-43.5,0.0,0.0,0.11931407407407407,0.20073777777777776
-42.5,0.0,0.0,0.11805925925925925,0.20434962962962963
-41.5,0.0,0.0,0.11609777777777777,0.20615555555555554
-40.5,0.0,0.0,0.1138474074074074,0.20651259259259258
-39.5,0.0,0.0,0.11208296296296297,0.2112859259259259
-38.5,0.0,0.0,0.1103362962962963,0.21194518518518518
-37.5,0.0,0.0,0.10843555555555555,0.2146074074074074
-36.5,0.0,0.0,0.10393185185185186,0.21754074074074073
-35.5,0.0,0.0,0.09829333333333333,0.22299259259259258
-34.5,0.0,0.0,0.09608888888888889,0.22498370370370369
-33.5,0.0,0.0,0.09508148148148149,0.22385333333333332
-32.5,0.0,0.0,0.09344740740740741,0.22666962962962964
-31.5,0.0,0.0,0.0945362962962963,0.22410666666666668
-30.5,0.0,0.0,0.09422074074074073,0.2282014814814815
-29.5,0.0,0.0,0.09374962962962963,0.22812
-28.5,0.0,0.0,0.09288,0.22679407407407406
-27.5,0.0,0.0,0.09003259259259258,0.23203555555555555
-26.5,0.0,0.0,0.08984444444444445,0.22910074074074074
-25.5,0.0,0.0,0.09056444444444443,0.22981185185185185
-24.5,0.0,0.0,0.0889925925925926,0.23074074074074072
-23.5,0.0,2.962962962962963e-06,0.09066222222222223,0.23234074074074074
-22.5,9.62962962962963e-05,2.3703703703703703e-05,0.08978814814814814,0.2272562962962963
-21.5,0.0007422222222222222,0.00013925925925925925,0.08891259259259258,0.22869333333333336
-20.5,0.002808888888888889,0.0004340740740740741,0.08708148148148148,0.23292740740740742
-19.5,0.0058948148148148145,0.0008637037037037037,0.08646370370370371,0.23562814814814817
-18.5,0.008568888888888888,0.0013822222222222222,0.0865925925925926,0.23596444444444445
-17.5,0.010591111111111112,0.002245925925925926,0.08571111111111111,0.23215703703703705
-16.5,0.012632592592592593,0.0034311111111111113,0.08552444444444444,0.2318637037037037
-15.5,0.013577777777777779,0.0056785185185185185,0.08530962962962962,0.23284740740740742
-14.5,0.014394074074074073,0.007616296296296296,0.08724444444444444,0.23292888888888888
-13.5,0.016414814814814816,0.010281481481481482,0.08848296296296296,0.2302162962962963
-12.5,0.019188148148148145,0.013757037037037038,0.08863851851851852,0.22693777777777777
-11.5,0.021792592592592593,0.01698962962962963,0.08648148148148148,0.2253111111111111
-10.5,0.02535851851851852,0.01843259259259259,0.08826222222222223,0.22739851851851853
-9.5,0.03168148148148148,0.019413333333333335,0.08916888888888888,0.23298518518518518
-8.5,0.04181037037037037,0.02490074074074074,0.08562666666666666,0.22421925925925926
-7.5,0.07568296296296297,0.0585362962962963,0.06894518518518518,0.18772592592592593
-6.5,0.25222962962962964,0.24366962962962962,0.044303703703703706,0.12511259259259258
-5.5,0.8021837037037037,0.7704281481481481,0.020530370370370372,0.057764444444444445
-4.5,1.5806696296296296,1.423417777777778,0.007854814814814814,0.018047407407407408
-3.5,2.0969807407407406,1.81524,0.004136296296296296,0.0033911111111111112
-2.5,2.267536296296296,1.9326014814814814,0.0039125925925925925,0.0006399999999999999
-1.5,2.258102222222222,1.960219259259259,0.004220740740740741,0.0006681481481481482
-0.5,2.181194074074074,2.005740740740741,0.004973333333333333,0.0007614814814814815
0.5,2.111114074074074,2.0652844444444445,0.005751111111111111,0.0007718518518518518
1.5,2.0613348148148147,2.124031111111111,0.0067599999999999995,0.0008414814814814815
2.5,1.986325925925926,2.1886266666666665,0.007706666666666666,0.0007066666666666666
3.5,1.8280044444444443,2.1571599999999997,0.010133333333333333,0.001522962962962963
4.5,1.4359837037037038,1.8055214814814813,0.019645925925925928,0.006263703703703704
5.5,0.776882962962963,1.0772192592592593,0.04862666666666667,0.021693333333333335
6.5,0.2383674074074074,0.38476444444444446,0.10466962962962964,0.04931555555555556
7.5,0.04017037037037037,0.075,0.16821777777777777,0.0794725925925926
8.5,0.003644444444444444,0.00837925925925926,0.21446074074074076,0.09669925925925925
9.5,0.00023555555555555556,0.0007392592592592593,0.2300474074074074,0.10383259259259259
10.5,2.6666666666666667e-05,5.037037037037037e-05,0.2278,0.10385629629629631
11.5,0.0,0.0,0.22219851851851852,0.10515111111111111
12.5,0.0,0.0,0.22045481481481483,0.10700592592592593
13.5,0.0,0.0,0.21444000000000002,0.10878962962962964
14.5,0.0,0.0,0.21237333333333333,0.1148725925925926
15.5,0.0,0.0,0.21137185185185187,0.1178088888888889
16.5,0.0,0.0,0.20964296296296295,0.11795703703703704
17.5,0.0,0.0,0.20765481481481482,0.11897925925925926
18.5,0.0,0.0,0.20793925925925924,0.12094962962962962
19.5,0.0,0.0,0.20853777777777777,0.11990962962962963
20.5,0.0,0.0,0.2086859259259259,0.11875555555555554
21.5,0.0,0.0,0.20739555555555556,0.1191125925925926
22.5,0.0,0.0,0.20577481481481483,0.11954666666666666
23.5,0.0,0.0,0.20898666666666665,0.11907851851851851
24.5,0.0,0.0,0.21409777777777778,0.11583703703703703
25.5,0.0,0.0,0.21374962962962962,0.11417925925925927
26.5,0.0,0.0,0.2102148148148148,0.11532296296296296
27.5,0.0,0.0,0.21134666666666665,0.11668592592592593
28.5,0.0,0.0,0.2091437037037037,0.11968148148148149
29.5,0.0,0.0,0.21189925925925923,0.11929777777777777
30.5,0.0,0.0,0.21139555555555556,0.12130962962962964
31.5,0.0,0.0,0.20707111111111112,0.12037185185185185
32.5,0.0,0.0,0.20540296296296295,0.12164
33.5,0.0,0.0,0.20354074074074074,0.1240325925925926
34.5,0.0,0.0,0.20296296296296296,0.12391259259259259
35.5,0.0,0.0,0.20389333333333332,0.12590222222222222
36.5,0.0,0.0,0.1999511111111111,0.1251837037037037
37.5,0.0,0.0,0.19757481481481481,0.1266548148148148
38.5,0.0,0.0,0.1984711111111111,0.12829037037037036
39.5,0.0,0.0,0.1968251851851852,0.12777777777777777
40.5,0.0,0.0,0.1971437037037037,0.12911555555555554
41.5,0.0,0.0,0.19521777777777777,0.13157925925925926
42.5,0.0,0.0,0.1927274074074074,0.13277185185185184
43.5,0.0,0.0,0.19489481481481483,0.13396296296296295
44.5,0.0,0.0,0.19531703703703704,0.13180444444444445
45.5,0.0,0.0,0.19402222222222223,0.13085185185185186
46.5,0.0,0.0,0.1941051851851852,0.12992592592592592
47.5,0.0,0.0,0.19194962962962964,0.1318474074074074
48.5,0.0,0.0,0.1917111111111111,0.1314562962962963
49.5,0.0,0.0,0.19277333333333335,0.13374814814814814
50.5,0.0,0.0,0.19442666666666666,0.1314488888888889
51.5,0.0,0.0,0.19424296296296298,0.1317525925925926
52.5,0.0,0.0,0.19239851851851852,0.1326162962962963
53.5,0.0,0.0,0.19303703703703703,0.1325185185185185
54.5,0.0,0.0,0.19318962962962963,0.13231407407407408
55.5,0.0,0.0,0.19506222222222225,0.13118222222222223
56.5,0.0,0.0,0.1932088888888889,0.1308
57.5,0.0,0.0,0.19448888888888888,0.13196592592592593
58.5,0.0,0.0,0.19652,0.1325925925925926
59.5,0.0,0.0,0.1958874074074074,0.13338814814814814
60.5,0.0,0.0,0.19036,0.13559407407407406
61.5,0.0,0.0,0.18426222222222224,0.14129925925925926
62.5,0.0,0.0,0.18233481481481484,0.14323555555555556
63.5,0.0,0.0,0.1832488888888889,0.14408444444444443
64.5,0.0,0.0,0.1841525925925926,0.1410888888888889
65.5,0.0,0.0,0.1870548148148148,0.1395911111111111
66.5,0.0,0.0,0.19031851851851853,0.13841037037037038
67.5,0.0,0.0,0.18982518518518518,0.13605185185185187
68.5,0.0,0.0,0.18882222222222222,0.13603555555555555
69.5,0.0,0.0,0.18824,0.13664
70.5,0.0,0.0,0.18672,0.13773185185185186
71.5,0.0,0.0,0.18422222222222223,0.14057481481481482
72.5,0.0,0.0,0.1836948148148148,0.14336148148148148
73.5,0.0,0.0,0.18192,0.14135851851851852
74.5,0.0,0.0,0.17550518518518518,0.13779555555555556
