z,mixed_idp1_intensity,mixed_idp2_intensity,unmixed_idp1_intensity,unmixed_idp2_intensity,layered_idp1_intensity,layered_idp2_intensity,layered_idp3_intensity
-74.5,0.0025185185185185185,0.0,0.0,0.0,0.06092148148148148,0.0,0.0
-73.5,0.0023214814814814812,0.0,0.0,0.0,0.06097185185185185,0.0,0.0
-72.5,0.00236,0.0,0.0,0.0,0.06316148148148149,0.0,0.0
-71.5,0.0021866666666666666,0.0,0.0,0.0,0.0651037037037037,0.0,0.0
-70.5,0.0025037037037037037,0.0,0.0,0.0,0.06453185185185185,0.0,0.0
-69.5,0.0026637037037037037,0.0,0.0,0.0,0.06359111111111111,0.0,0.0
-68.5,0.0024725925925925926,0.0,0.0,0.0,0.06224444444444445,0.0,0.0
-67.5,0.00214962962962963,0.0,0.0,0.0,0.06137925925925926,0.0,0.0
-66.5,0.0021377777777777775,0.0,0.0,0.0,0.059322962962962966,0.0,0.0
-65.5,0.002407407407407407,0.0,0.0,0.0,0.059317037037037036,0.0,0.0
-64.5,0.0024088888888888892,0.0,0.0,0.0,0.06078518518518518,0.0,0.0
-63.5,0.002291851851851852,0.0,0.0,0.0,0.06079407407407408,0.0,0.0
-62.5,0.002216296296296296,0.0,0.0,0.0,0.062459259259259256,0.0,0.0
-61.5,0.002475555555555556,0.0,0.0,0.0,0.06281777777777778,0.0,0.0
-60.5,0.002801481481481481,0.0,0.0,0.0,0.06478518518518518,0.0,0.0
-59.5,0.002977777777777778,0.0,0.0,0.0,0.06550666666666667,0.0,0.0
-58.5,0.0026562962962962964,0.0,0.0,0.0,0.06491703703703704,0.0,0.0
-57.5,0.002194074074074074,0.0,0.0,0.0,0.06394814814814814,0.0,0.0
-56.5,0.002297777777777778,0.0,0.0,0.0,0.06221777777777778,0.0,0.0
-55.5,0.0025718518518518516,0.0,0.0,0.0,0.06030666666666667,0.0,0.0
-54.5,0.002576296296296296,0.0,0.0,0.0,0.062207407407407406,0.0,0.0
-53.5,0.0026962962962962965,0.0,0.0,0.0,0.06259259259259259,0.0,0.0
-52.5,0.002905185185185185,0.0,0.0,0.0,0.06141037037037037,0.0,0.0
-51.5,0.002757037037037037,0.0,0.0,0.0,0.06009925925925926,0.0,0.0
-50.5,0.0027822222222222224,0.0,0.0,0.0,0.05972888888888889,0.0,0.0
-49.5,0.002374814814814815,0.0,0.0,0.0,0.059840000000000004,0.0,0.0
-48.5,0.002337777777777778,0.0,0.0,0.0,0.06101185185185185,0.0,0.0
-47.5,0.002051851851851852,0.0,0.0,0.0,0.06329777777777779,0.0,0.0
-46.5,0.001891851851851852,0.0,0.0,0.0,0.06457037037037038,0.0,0.0
-45.5,0.0021466666666666665,0.0,0.0,0.0,0.06452592592592592,0.0,0.0
-44.5,0.0021881481481481483,0.0,0.0,0.0,0.06406518518518518,0.0,0.0
-43.5,0.002311111111111111,0.0,1.3333333333333333e-05,0.0,0.06035555555555556,0.0,0.0
-42.5,0.0020755555555555557,0.0,3.555555555555555e-05,0.0,0.06000592592592593,0.0,0.0
-41.5,0.0020800000000000003,0.0,8.592592592592593e-05,0.0,0.060408888888888894,0.0,0.0
-40.5,0.0022474074074074076,0.0,0.0002548148148148148,0.0,0.0612,0.0,0.0
-39.5,0.0026074074074074072,0.0,0.00037185185185185184,0.0,0.06281185185185185,0.0,0.0
-38.5,0.002674074074074074,0.0,0.0006325925925925926,0.0,0.06296,0.0,0.0
-37.5,0.0028340740740740744,0.0,0.0007866666666666666,0.0,0.06261037037037037,0.0,0.0
-36.5,0.0028725925925925924,0.0,0.000994074074074074,0.0,0.06002962962962963,0.0,0.0
-35.5,0.002714074074074074,0.0,0.0008533333333333333,0.0,0.059641481481481476,0.0,0.0
-34.5,0.002322962962962963,0.0,0.00046814814814814815,0.0,0.05925333333333334,0.0,0.0
-33.5,0.00204,0.0,0.0004222222222222222,0.0,0.05924740740740741,0.0,0.0
-32.5,0.001722962962962963,0.0,0.00039851851851851854,0.0,0.060540740740740735,0.0,0.0
-31.5,0.001248888888888889,0.0,0.00031851851851851854,0.0,0.060148148148148145,0.0,0.0
-30.5,0.0011392592592592593,0.0,0.00024148148148148146,0.0,0.06069185185185185,0.0,0.0
-29.5,0.0010266666666666666,0.0,0.0001525925925925926,0.0,0.06159111111111111,0.0,0.0
-28.5,0.0009140740740740741,0.0,0.00018074074074074073,0.0,0.06445629629629629,0.0,0.0
-27.5,0.0007185185185185185,0.0,0.00012592592592592592,0.0,0.06848888888888889,0.0,0.0
-26.5,0.0006740740740740741,0.0,0.0001288888888888889,0.0,0.06979703703703703,0.0,0.0
-25.5,0.0006814814814814815,0.0,0.00019111111111111108,0.0,0.06744148148148148,0.0,0.0
-24.5,0.0005985185185185185,0.0,0.00013333333333333334,0.0,0.06557481481481481,0.0,0.0
-23.5,0.00042962962962962963,0.0,0.00019407407407407408,0.0,0.06391259259259259,0.0,0.0
-22.5,0.0006207407407407407,0.0,0.00019999999999999998,0.0,0.06312444444444444,0.0,0.0
-21.5,0.0006755555555555555,0.0,0.00022222222222222223,0.0,0.06243407407407407,0.0,0.0
-20.5,0.0006577777777777777,0.0,0.0003659259259259259,0.0,0.06222518518518519,0.0,0.0
-19.5,0.0008755555555555556,0.0,0.00038814814814814815,0.0,0.06082814814814815,0.0,0.0
-18.5,0.001145185185185185,0.0,0.0004903703703703704,0.0,0.06399111111111111,0.0,0.0
-17.5,0.0012548148148148147,0.0,0.0005762962962962963,0.0,0.06717629629629629,0.0,0.0
-16.5,0.001282962962962963,0.0,0.0005111111111111112,0.0,0.07039703703703704,0.0,0.0
-15.5,0.0012148148148148148,0.0,0.0004459259259259259,0.0,0.07910962962962963,0.0,0.0
-14.5,0.0011214814814814815,0.0,0.0005644444444444445,0.0,0.09355555555555556,0.0,0.0
-13.5,0.0015422222222222222,0.0,0.0007644444444444443,0.0,0.11750074074074074,0.0,0.0
-12.5,0.0017259259259259259,7.4074074074074075e-06,0.0010903703703703702,0.0,0.16238074074074074,0.0,0.0
-11.5,0.002585185185185185,4.148148148148149e-05,0.0023407407407407405,0.0,0.23656592592592593,0.0,0.0
-10.5,0.006607407407407407,0.0004488888888888889,0.008813333333333334,0.0,0.35868592592592596,0.0,0.0
-9.5,0.022906666666666665,0.003016296296296296,0.03938962962962963,0.0,0.5459422222222222,1.0370370370370372e-05,0.0
-8.5,0.09563851851851853,0.018234074074074076,0.16210666666666665,0.0,0.79428,0.00030074074074074074,3.9999999999999996e-05
-7.5,0.3457511111111111,0.08827851851851852,0.5329792592592593,0.0,1.091077037037037,0.002623703703703704,0.0004829629629629629
-6.5,0.8879303703703704,0.3118074074074074,1.2816118518518518,0.0,1.3776548148148147,0.019037037037037036,0.004148148148148148
-5.5,1.511562962962963,0.7517259259259259,2.2297674074074076,7.4074074074074075e-06,1.5769022222222222,0.10452888888888888,0.026284444444444444
-4.5,1.8378474074074074,1.3050207407407406,2.9753525925925928,7.407407407407407e-05,1.540368888888889,0.4155837037037037,0.11785629629629629
-3.5,1.8209362962962963,1.7626266666666668,3.3383674074074072,0.0010992592592592592,1.1745362962962964,1.073482962962963,0.36862962962962964
-2.5,1.7053807407407406,2.020722962962963,3.451317037037037,0.009694814814814814,0.678271111111111,1.7807318518518518,0.827042962962963
-1.5,1.6103807407407407,2.1361777777777777,3.4013407407407406,0.08457185185185186,0.28116,2.129717037037037,1.4428622222222223
-0.5,1.5560399999999999,2.1991051851851853,2.8593303703703703,0.6293377777777778,0.0770637037037037,2.0893807407407405,2.036620740740741
0.5,1.52744,2.2351703703703705,1.406222222222222,2.3393851851851855,0.013331851851851852,1.8520651851851853,2.4757333333333333
1.5,1.528165925925926,2.2503733333333336,0.27228740740740737,3.9622637037037034,0.0017051851851851852,1.6286592592592593,2.7483955555555557
2.5,1.5782548148148148,2.1931392592592593,0.023453333333333333,4.445013333333334,0.00042962962962962963,1.55624,2.8354592592592596
3.5,1.6701392592592594,1.9757288888888889,0.005447407407407408,4.439780740740741,0.0026577777777777776,1.6432207407407409,2.741325925925926
4.5,1.679257777777778,1.5270992592592592,0.0382162962962963,3.877042962962963,0.02321925925925926,1.85092,2.4433540740740742
5.5,1.381691851851852,0.9171155555555556,0.10307555555555556,2.0167614814814816,0.12925925925925924,2.033631111111111,1.9063022222222223
6.5,0.7946799999999999,0.3887896296296296,0.06359555555555556,0.3872385185185185,0.4178118518518518,1.8619881481481482,1.2442192592592594
7.5,0.2964251851851852,0.11103703703703705,0.012717037037037037,0.028795555555555557,0.8270237037037037,1.275271111111111,0.6526637037037037
8.5,0.07684,0.022397037037037038,0.001714074074074074,0.001128888888888889,1.0823451851851853,0.63136,0.260037037037037
9.5,0.018042962962962962,0.0036385185185185184,0.0001614814814814815,2.6666666666666667e-05,1.0629822222222223,0.21676148148148147,0.07420444444444445
10.5,0.005841481481481481,0.0004711111111111111,1.1851851851851852e-05,0.0,0.8294074074074075,0.048835555555555556,0.014428148148148148
11.5,0.0031244444444444444,3.555555555555555e-05,0.0,0.0,0.5529881481481481,0.006977777777777778,0.0019674074074074073
12.5,0.002288888888888889,1.3333333333333333e-05,0.0,0.0,0.33197925925925925,0.0008251851851851852,0.00015555555555555556
13.5,0.0020414814814814814,0.0,0.0,0.0,0.19432148148148148,6.222222222222222e-05,8.888888888888888e-06
14.5,0.0017037037037037038,0.0,0.0,0.0,0.12087851851851852,7.4074074074074075e-06,0.0
15.5,0.0014,0.0,0.0,0.0,0.08215407407407407,0.0,0.0
16.5,0.001405925925925926,0.0,0.0,0.0,0.06262074074074074,0.0,0.0
17.5,0.0015274074074074074,0.0,0.0,0.0,0.05421185185185185,0.0,0.0
18.5,0.0015037037037037037,0.0,0.0,0.0,0.051709629629629626,0.0,0.0
19.5,0.0018148148148148147,0.0,0.0,0.0,0.04897481481481482,0.0,0.0
20.5,0.002158518518518519,0.0,0.0,0.0,0.04705333333333333,0.0,0.0
21.5,0.0022237037037037034,0.0,0.0,0.0,0.04402814814814814,0.0,0.0
22.5,0.0021007407407407407,0.0,0.0,0.0,0.04271111111111111,0.0,0.0
23.5,0.002216296296296296,0.0,0.0,0.0,0.041986666666666665,0.0,0.0
24.5,0.0020133333333333336,0.0,0.0,0.0,0.04188,0.0,0.0
25.5,0.001957037037037037,0.0,0.0,0.0,0.04085037037037037,0.0,0.0
26.5,0.0021614814814814817,0.0,0.0,0.0,0.041162962962962964,0.0,0.0
27.5,0.002477037037037037,0.0,0.0,0.0,0.04215111111111111,0.0,0.0
28.5,0.002645925925925926,0.0,0.0,0.0,0.04282518518518519,0.0,0.0
29.5,0.0029807407407407404,0.0,0.0,0.0,0.042832592592592596,0.0,0.0
30.5,0.002878518518518518,0.0,0.0,0.0,0.043847407407407404,0.0,0.0
31.5,0.003192592592592593,0.0,0.0,0.0,0.043019259259259264,0.0,0.0
32.5,0.0031466666666666665,0.0,0.0,0.0,0.040743703703703706,0.0,0.0
33.5,0.003342222222222222,0.0,0.0,0.0,0.04014962962962963,0.0,0.0
34.5,0.0037851851851851853,0.0,0.0,0.0,0.039348148148148146,0.0,0.0
35.5,0.0035318518518518516,0.0,0.0,0.0,0.03937333333333334,0.0,0.0
36.5,0.003232592592592593,0.0,0.0,0.0,0.041653333333333334,0.0,0.0
37.5,0.0032844444444444444,0.0,0.0,0.0,0.039894814814814814,0.0,0.0
38.5,0.002962962962962963,0.0,0.0,0.0,0.03889185185185186,0.0,0.0
39.5,0.0027244444444444443,0.0,0.0,0.0,0.04065925925925926,0.0,0.0
40.5,0.002477037037037037,0.0,0.0,0.0,0.04112148148148148,0.0,0.0
41.5,0.0025599999999999998,0.0,0.0,0.0,0.042002962962962964,0.0,0.0
42.5,0.002168888888888889,0.0,0.0,0.0,0.04232444444444444,0.0,0.0
43.5,0.0022711111111111113,0.0,0.0,0.0,0.03962666666666667,0.0,0.0
44.5,0.0022192592592592594,0.0,0.0,0.0,0.03730222222222222,0.0,0.0
45.5,0.001980740740740741,0.0,0.0,0.0,0.036902222222222225,0.0,0.0
46.5,0.0018488888888888888,0.0,0.0,0.0,0.03702222222222222,0.0,0.0
47.5,0.0018962962962962963,0.0,0.0,0.0,0.03792444444444444,0.0,0.0
48.5,0.0017096296296296295,0.0,0.0,0.0,0.040648888888888894,0.0,0.0
49.5,0.001637037037037037,0.0,0.0,0.0,0.0432237037037037,0.0,0.0
50.5,0.0017733333333333334,0.0,0.0,0.0,0.04380888888888888,0.0,0.0
51.5,0.0019155555555555555,0.0,0.0,0.0,0.043197037037037034,0.0,0.0
52.5,0.0018103703703703704,0.0,0.0,0.0,0.04284444444444445,0.0,0.0
53.5,0.0018207407407407408,0.0,0.0,0.0,0.04229185185185185,0.0,0.0
54.5,0.001459259259259259,0.0,0.0,0.0,0.042391111111111116,0.0,0.0
55.5,0.001291851851851852,0.0,0.0,0.0,0.0440962962962963,0.0,0.0
56.5,0.0013748148148148148,0.0,0.0,0.0,0.045305185185185184,0.0,0.0
57.5,0.001311111111111111,0.0,0.0,0.0,0.04690074074074074,0.0,0.0
58.5,0.0014014814814814816,0.0,0.0,0.0,0.04738518518518519,0.0,0.0
59.5,0.0016414814814814816,0.0,0.0,0.0,0.04727851851851852,0.0,0.0
60.5,0.0015185185185185187,0.0,0.0,0.0,0.04833333333333333,0.0,0.0
61.5,0.001605925925925926,0.0,0.0,0.0,0.049869629629629625,0.0,0.0
62.5,0.0017466666666666668,0.0,0.0,0.0,0.05208,0.0,0.0
63.5,0.0018503703703703703,0.0,0.0,0.0,0.052902222222222225,0.0,0.0
64.5,0.0018503703703703703,0.0,0.0,0.0,0.05272296296296296,0.0,0.0
65.5,0.0018622222222222221,0.0,0.0,0.0,0.050241481481481484,0.0,0.0
66.5,0.0018488888888888888,0.0,0.0,0.0,0.046537777777777775,0.0,0.0
67.5,0.0017807407407407407,0.0,0.0,0.0,0.044882962962962965,0.0,0.0
68.5,0.0018622222222222221,0.0,0.0,0.0,0.044216296296296295,0.0,0.0
69.5,0.0022355555555555557,0.0,0.0,0.0,0.04618222222222222,0.0,0.0
70.5,0.0023407407407407405,0.0,0.0,0.0,0.05121481481481482,0.0,0.0
71.5,0.0024296296296296297,0.0,0.0,0.0,0.0555362962962963,0.0,0.0
72.5,0.002368888888888889,0.0,0.0,0.0,0.05865777777777778,0.0,0.0
73.5,0.0023792592592592593,0.0,0.0,0.0,0.05972444444444445,0.0,0.0
74.5,0.002428148148148148,0.0,0.0,0.0,0.0616162962962963,0.0,0.0
