z,idp1_intensity,idp2_intensity,idp3_intensity,idp4_intensity,idp5_intensity
-74.5,0.020263703703703704,0.02404,0.0,0.0,0.15945777777777778
-73.5,0.019502222222222223,0.024862222222222223,0.0,0.0,0.15961777777777778
-72.5,0.01816888888888889,0.025164444444444444,0.0,0.0,0.1584474074074074
-71.5,0.01696,0.027494814814814816,0.0,0.0,0.15778962962962964
-70.5,0.016115555555555557,0.02752,0.0,0.0,0.15693333333333334
-69.5,0.015371851851851852,0.02718074074074074,0.0,0.0,0.15563703703703702
-68.5,0.014162962962962962,0.027435555555555557,0.0,0.0,0.15575703703703703
-67.5,0.01490074074074074,0.02626074074074074,0.0,0.0,0.1566488888888889
-66.5,0.015856296296296295,0.027146666666666666,0.0,0.0,0.15861185185185184
-65.5,0.017189629629629628,0.028976296296296295,0.0,0.0,0.15525333333333335
-64.5,0.018468148148148147,0.0313762962962963,0.0,0.0,0.1570933333333333
-63.5,0.019597037037037038,0.03178074074074074,0.0,0.0,0.15717333333333333
-62.5,0.020638518518518518,0.03212888888888889,0.0,0.0,0.1578059259259259
-61.5,0.0205837037037037,0.03191851851851852,0.0,0.0,0.15755703703703702
-60.5,0.019494814814814812,0.03377481481481481,0.0,0.0,0.1550785185185185
-59.5,0.018666666666666668,0.03476592592592592,0.0,0.0,0.15655851851851854
-58.5,0.017222222222222222,0.03477925925925926,0.0,0.0,0.15885925925925926
-57.5,0.017485925925925926,0.03576,0.0,0.0,0.1598
-56.5,0.01845925925925926,0.035677037037037035,0.0,0.0,0.15518074074074073
-55.5,0.01971111111111111,0.03776888888888889,0.0,0.0,0.15407703703703704
-54.5,0.020087407407407408,0.041312592592592595,0.0,0.0,0.15492
-53.5,0.02057185185185185,0.0425837037037037,0.0,0.0,0.15189037037037037
-52.5,0.020679999999999997,0.04416,0.0,0.0,0.1487762962962963
-51.5,0.02047111111111111,0.0443762962962963,0.0,0.0,0.14912444444444442
-50.5,0.02045925925925926,0.045422222222222225,0.0,0.0,0.1476162962962963
-49.5,0.02032740740740741,0.04548,0.0,0.0,0.14915851851851852
-48.5,0.02220148148148148,0.045488888888888884,0.0,0.0,0.14981629629629628
-47.5,0.022459259259259262,0.044428148148148154,0.0,0.0,0.14882074074074075
-46.5,0.02164296296296296,0.04246814814814815,0.0,0.0,0.14773333333333336
-45.5,0.02108,0.04137333333333333,0.0,0.0,0.1471214814814815
-44.5,0.020674074074074074,0.04203259259259259,0.0,0.0,0.14936148148148148
-43.5,0.021568888888888887,0.044219259259259264,0.0,0.0,0.15067851851851852
-42.5,0.024191111111111108,0.04853333333333333,0.0,0.0,0.14993037037037035
-41.5,0.028937777777777778,0.05261777777777778,0.0,0.0,0.15036444444444444
-40.5,0.033780740740740736,0.05606222222222223,0.0,0.0,0.15196444444444446
-39.5,0.03954222222222222,0.05713481481481482,0.0,0.0,0.1531674074074074
-38.5,0.045959999999999994,0.05875259259259259,0.0,0.0,0.15274222222222222
-37.5,0.05232740740740741,0.06023407407407408,0.0,0.0,0.15131999999999998
-36.5,0.05981037037037037,0.06393333333333333,0.0,0.0,0.1514474074074074
-35.5,0.06678222222222222,0.0666562962962963,0.0,0.0,0.14990962962962964
-34.5,0.06973333333333333,0.06934814814814814,0.0,0.0,0.15222222222222223
-33.5,0.06864296296296296,0.06909185185185185,0.0,0.0,0.1525125925925926
-32.5,0.06731259259259259,0.06824888888888889,0.0,0.0,0.1532651851851852
-31.5,0.06535111111111111,0.06563555555555556,0.0,0.0,0.15390222222222222
-30.5,0.06493185185185185,0.06313185185185186,0.0,0.0,0.15314222222222224
-29.5,0.06455999999999999,0.059971851851851846,0.0,0.0,0.15194666666666667
-28.5,0.06258518518518519,0.05607259259259259,0.0,0.0,0.15051111111111112
-27.5,0.0583437037037037,0.05354814814814815,0.0,0.0,0.1505614814814815
-26.5,0.05722518518518519,0.051525925925925926,0.0,0.0,0.15236
-25.5,0.05752,0.04847703703703704,0.0,0.0,0.15558814814814817
-24.5,0.06033333333333333,0.04730666666666667,0.0,0.0,0.1549525925925926
-23.5,0.06529185185185185,0.04784740740740741,0.0,0.0,0.15572296296296295
-22.5,0.07137925925925925,0.05291851851851852,0.0,0.0,0.15825333333333333
-21.5,0.08278518518518518,0.0624,0.0,0.0,0.15860888888888888
-20.5,0.10554666666666668,0.07656740740740742,0.0,0.0,0.16543999999999998
-19.5,0.14130666666666666,0.09941185185185186,0.0,0.0,0.17300592592592592
-18.5,0.1932725925925926,0.13376888888888888,0.0,0.0,0.18118222222222222
-17.5,0.2672148148148148,0.1802666666666667,0.0,0.0,0.18249185185185188
-16.5,0.35743407407407407,0.24550370370370372,0.0,0.0,0.1851288888888889
-15.5,0.45266666666666666,0.32956592592592593,0.0,0.0,0.18684148148148147
-14.5,0.5486577777777778,0.4250651851851852,0.0,0.0,0.18710666666666664
-13.5,0.6504874074074074,0.5241303703703704,0.0,0.0,0.18244592592592593
-12.5,0.7519555555555556,0.6302962962962962,0.0,0.0,0.17341925925925927
-11.5,0.8452562962962964,0.7209111111111112,0.0,0.0,0.16049185185185186
-10.5,0.9173777777777777,0.7965881481481482,0.0,0.0,0.1512814814814815
-9.5,0.9702577777777778,0.8594148148148149,0.0,0.0,0.1424074074074074
-8.5,0.99948,0.9076414814814815,3.7037037037037037e-05,1.4814814814814815e-06,0.13661333333333334
-7.5,1.0086562962962964,0.9550533333333333,0.00020592592592592592,1.925925925925926e-05,0.1299125925925926
-6.5,1.024608888888889,0.9950666666666667,0.0008177777777777777,0.00022370370370370372,0.11876148148148148
-5.5,1.0368133333333334,1.0216681481481482,0.0027896296296296298,0.0011244444444444444,0.10837777777777778
-4.5,1.0372814814814815,1.0487140740740741,0.007557037037037037,0.0030370370370370373,0.0993037037037037
-3.5,1.03396,1.0674133333333333,0.015308148148148147,0.005502222222222223,0.09608888888888889
-2.5,1.036388148148148,1.0600311111111111,0.023105185185185187,0.007853333333333334,0.09601925925925926
-1.5,1.0355525925925926,1.0581125925925925,0.02987259259259259,0.010946666666666667,0.09385037037037038
-0.5,1.0239748148148147,1.071842962962963,0.038903703703703704,0.01578962962962963,0.09138814814814815
0.5,0.9914651851851852,1.0858977777777779,0.05296740740740741,0.026093333333333336,0.09377037037037037
1.5,0.937762962962963,1.0787392592592593,0.08596592592592592,0.04834666666666667,0.10318666666666666
2.5,0.8385007407407408,1.0189496296296296,0.1756237037037037,0.1072562962962963,0.12081481481481482
3.5,0.6537940740740741,0.8578044444444445,0.4057422222222222,0.2799303703703704,0.13802814814814815
4.5,0.4047437037037037,0.5769674074074074,0.823482962962963,0.6578637037037036,0.1308088888888889
5.5,0.17942814814814814,0.2812325925925926,1.3308474074074075,1.190354074074074,0.08693629629629629
6.5,0.05466666666666667,0.09681925925925926,1.694945185185185,1.6752859259259258,0.040515555555555555
7.5,0.009962962962962963,0.024200000000000003,1.8223733333333334,1.9759703703703702,0.014765925925925925
8.5,0.0012296296296296296,0.003988148148148148,1.8050222222222223,2.1274977777777777,0.0073718518518518525
9.5,6.37037037037037e-05,0.0004162962962962963,1.7450237037037037,2.200943703703704,0.006447407407407408
10.5,0.0,7.555555555555556e-05,1.7184014814814814,2.2144874074074075,0.007733333333333333
11.5,1.3333333333333333e-05,2.3703703703703703e-05,1.7551911111111111,2.16653037037037,0.010197037037037037
12.5,0.00015407407407407408,2.2222222222222223e-05,1.8409051851851852,2.0531096296296294,0.014998518518518519
13.5,0.0009288888888888888,0.0001925925925925926,1.9101466666666667,1.8620192592592593,0.028346666666666666
14.5,0.0038,0.001437037037037037,1.8444474074074075,1.5572400000000002,0.0653362962962963
15.5,0.011278518518518518,0.005293333333333334,1.508,1.1172992592592592,0.1399748148148148
16.5,0.024465185185185187,0.010494814814814816,0.9617318518518518,0.6115259259259259,0.22478370370370368
17.5,0.03488,0.014355555555555555,0.4415570370370371,0.23329777777777777,0.26209777777777776
18.5,0.03396,0.013684444444444445,0.14035259259259258,0.0598237037037037,0.2395496296296296
19.5,0.024734814814814814,0.010155555555555557,0.03361185185185185,0.011059259259259258,0.2028874074074074
20.5,0.014922962962962964,0.007087407407407408,0.006122962962962963,0.0016014814814814815,0.17834814814814814
21.5,0.00889925925925926,0.0053629629629629635,0.0010829629629629629,0.00015703703703703705,0.1662340740740741
22.5,0.007031111111111111,0.004617777777777777,7.555555555555556e-05,3.111111111111111e-05,0.1616562962962963
23.5,0.006718518518518519,0.004173333333333333,4.444444444444444e-06,0.0,0.1608474074074074
24.5,0.007374814814814815,0.004632592592592593,0.0,0.0,0.16038074074074074
25.5,0.00825925925925926,0.0050977777777777775,0.0,0.0,0.1603051851851852
26.5,0.008699259259259259,0.006232592592592593,0.0,0.0,0.1642874074074074
27.5,0.008285925925925926,0.006054814814814815,0.0,0.0,0.16497037037037038
28.5,0.007644444444444444,0.00604,0.0,0.0,0.16320740740740738
29.5,0.007274074074074074,0.007103703703703704,0.0,0.0,0.16286814814814815
30.5,0.006922962962962963,0.007594074074074073,0.0,0.0,0.16284148148148148
31.5,0.006988148148148148,0.008487407407407407,0.0,0.0,0.16074962962962963
32.5,0.007198518518518518,0.008994074074074074,0.0,0.0,0.16276296296296297
33.5,0.007706666666666666,0.008902222222222223,0.0,0.0,0.16265777777777776
34.5,0.00742962962962963,0.00864,0.0,0.0,0.16330666666666666
35.5,0.007053333333333333,0.008675555555555556,0.0,0.0,0.16307555555555556
36.5,0.00758074074074074,0.008983703703703704,0.0,0.0,0.16318666666666667
37.5,0.008884444444444445,0.008539259259259259,0.0,0.0,0.16321777777777777
38.5,0.010497777777777778,0.008927407407407406,0.0,0.0,0.16448888888888888
39.5,0.011779259259259258,0.009321481481481481,0.0,0.0,0.16437185185185185
40.5,0.0126,0.008527407407407407,0.0,0.0,0.16488
41.5,0.012081481481481481,0.007736296296296296,0.0,0.0,0.16312
42.5,0.011515555555555557,0.007481481481481481,0.0,0.0,0.16426518518518518
43.5,0.011992592592592593,0.00733037037037037,0.0,0.0,0.16386074074074075
44.5,0.012805925925925927,0.008281481481481482,0.0,0.0,0.16614518518518517
45.5,0.014143703703703703,0.00950814814814815,0.0,0.0,0.16414222222222224
46.5,0.01479111111111111,0.009311111111111112,0.0,0.0,0.1659585185185185
47.5,0.015251851851851852,0.008628148148148149,0.0,0.0,0.16498074074074073
48.5,0.01658814814814815,0.008466666666666667,0.0,0.0,0.16263111111111112
49.5,0.016860740740740742,0.00906074074074074,0.0,0.0,0.1654622222222222
50.5,0.017296296296296296,0.008842962962962964,0.0,0.0,0.16760296296296298
51.5,0.016634074074074075,0.008881481481481482,0.0,0.0,0.16494814814814818
52.5,0.01619851851851852,0.007952592592592593,0.0,0.0,0.16572592592592592
53.5,0.015555555555555555,0.008362962962962963,0.0,0.0,0.16391111111111112
54.5,0.013971851851851853,0.008534814814814815,0.0,0.0,0.16381037037037038
55.5,0.012574814814814815,0.008672592592592593,0.0,0.0,0.16547851851851852
56.5,0.012845925925925926,0.008863703703703704,0.0,0.0,0.1664874074074074
57.5,0.013245925925925925,0.008555555555555556,0.0,0.0,0.16426370370370372
58.5,0.01260888888888889,0.00874074074074074,0.0,0.0,0.1633911111111111
59.5,0.012499259259259259,0.00881037037037037,0.0,0.0,0.16246962962962963
60.5,0.013251851851851851,0.00902074074074074,0.0,0.0,0.16285333333333335
61.5,0.014087407407407408,0.009275555555555556,0.0,0.0,0.1620074074074074
62.5,0.014103703703703703,0.009519999999999999,0.0,0.0,0.16158814814814818
63.5,0.015494814814814815,0.009164444444444444,0.0,0.0,0.1592488888888889
64.5,0.017042962962962965,0.01036,0.0,0.0,0.15967703703703703
65.5,0.017552592592592592,0.011767407407407409,0.0,0.0,0.15891555555555556
66.5,0.018306666666666666,0.013047407407407407,0.0,0.0,0.1597185185185185
67.5,0.01849333333333333,0.01368,0.0,0.0,0.1572711111111111
68.5,0.017708148148148146,0.014805925925925926,0.0,0.0,0.15628444444444445
69.5,0.015863703703703703,0.016133333333333333,0.0,0.0,0.15311555555555556
70.5,0.01539111111111111,0.01693037037037037,0.0,0.0,0.1534074074074074
71.5,0.016374814814814814,0.017875555555555558,0.0,0.0,0.15470370370370368
72.5,0.01766222222222222,0.018302222222222223,0.0,0.0,0.15546074074074076
73.5,0.01896,0.01998814814814815,0.0,0.0,0.15723111111111113
74.5,0.020362962962962965,0.0219437037037037,0.0,0.0,0.16057925925925925
