label,time,seqs,mem
quest12,"[6.949378728866577, 1.308125615119934, 0.39336764574050903, 0.15733886766433716, 0.14871281859874724]","[1.0, 10.0, 100.0, 1000.0, 10000.0]","[16.324357, 1.6379455, 0.16339417999999997, 0.016341973, 0.0016374065]"
quest10,"[8.112574815750122, 1.887050199508667, 0.5634939670562744, 0.21091641592979432, 0.2036734417438507]","[1.0, 10.0, 100.0, 1000.0, 10000.0]","[16.324495, 1.6378748, 0.16340997999999998, 0.016342457, 0.0016370515]"
quest11,"[11.169549703598022, 2.5505460262298585, 1.0065259718894959, 0.4323845841884613, 0.27558161013126375]","[1.0, 10.0, 100.0, 1000.0, 10000.0]","[16.325532, 1.6377531, 0.1634038, 0.016343888, 0.0016369963999999999]"
quest13,"[5.080580949783325, 0.96937575340271, 0.27270389318466187, 0.112096045255661, 0.10007132666110992]","[1.0, 10.0, 100.0, 1000.0, 10000.0]","[16.325426, 1.6381132, 0.16340663, 0.016341873, 0.0016371085000000001]"
h100,"[5.780075788497925, 0.7792644023895263, 0.09964497327804564, 0.014300360918045044, 0.004731845498085022]","[1.0, 10.0, 100.0, 1000.0, 10000.0]","[117.943296, 11.9944192, 1.2180864, 0.5935864319999999, 0.5978124032]"
a100,"[6.852224111557007, 0.9271509170532228, 0.11529186487197876, 0.018003698825836183, 0.006874372410774231]","[1.0, 10.0, 100.0, 1000.0, 10000.0]","[6.218496, 9.058406399999999, 0.9244851199999999, 0.593586944, 0.5911238400000001]"
