label,time,seqs,mem
quest12,"[6.655379295349121, 8.100316524505615, 9.677629470825195, 10.522178411483765, 13.962941884994509, 20.353307962417603]","[25.0, 50.0, 100.0, 200.0, 400.0, 800.0]","[16.270071, 16.282256, 16.319079, 16.205196, 16.337185, 16.280382]"
quest10,"[6.431198120117188, 8.637688875198364, 11.112478017807009, 14.553505897521973, 21.155670166015625, 32.44036531448364]","[25.0, 50.0, 100.0, 200.0, 400.0, 800.0]","[16.26912, 16.27988, 16.319828, 16.203291, 16.336903, 16.27911]"
quest11,"[9.210960388183594, 12.561325788497925, 15.527989625930786, 19.80294442176819, 28.098785638809204, 42.218695640563965]","[25.0, 50.0, 100.0, 200.0, 400.0, 800.0]","[16.268307, 16.278936, 16.3203, 16.202906, 16.334777, 16.27992]"
quest13,"[4.855015277862549, 5.941124677658081, 6.811806678771973, 7.628832101821899, 10.19302463531494, 14.858606815338137]","[25.0, 50.0, 100.0, 200.0, 400.0, 800.0]","[16.268752, 16.278777, 16.319816, 16.201672, 16.336494, 16.28109]"
h100,"[3.951916217803955, 6.376233816146851, 9.966840505599976, 16.567984104156494, 30.309044361114506, 57.86995148658752]","[25.0, 50.0, 100.0, 200.0, 400.0, 800.0]","[119.08864, 119.094784, 120.250624, 122.557184, 127.16416, 136.370688]"
a100,"[4.913118600845337, 7.389773607254028, 11.13472294807434, 18.029375314712524, 32.50617456436157, 59.92586016654968]","[25.0, 50.0, 100.0, 200.0, 400.0, 800.0]","[7.36384, 7.369984, 9.363968, 17.53856, 33.956096, 76.073984]"
