z,idp1_intensity,idp2_intensity
-74.5,0.013654222222222222,0.011059111111111112
-73.5,0.013984444444444445,0.010890666666666667
-72.5,0.014360444444444445,0.011433333333333332
-71.5,0.015304888888888889,0.012298666666666666
-70.5,0.01581288888888889,0.013392888888888888
-69.5,0.016750222222222222,0.01422711111111111
-68.5,0.017508444444444445,0.014857777777777777
-67.5,0.017920888888888886,0.015195555555555556
-66.5,0.017657333333333334,0.014717333333333332
-65.5,0.01671022222222222,0.01386088888888889
-64.5,0.015800444444444443,0.013419555555555556
-63.5,0.01512311111111111,0.012806222222222222
-62.5,0.014490222222222222,0.012813333333333333
-61.5,0.013848000000000001,0.012681777777777778
-60.5,0.013636888888888888,0.012755555555555556
-59.5,0.013337333333333335,0.012157333333333332
-58.5,0.012865777777777778,0.011379555555555556
-57.5,0.012869777777777779,0.011107111111111111
-56.5,0.013100444444444444,0.011340888888888888
-55.5,0.013842222222222223,0.011775555555555556
-54.5,0.013933777777777778,0.012377333333333332
-53.5,0.013681777777777777,0.012920000000000001
-52.5,0.012778222222222224,0.01356311111111111
-51.5,0.012973777777777777,0.014019555555555554
-50.5,0.014016,0.013992000000000001
-49.5,0.01497688888888889,0.014670222222222223
-48.5,0.016296444444444443,0.016081777777777778
-47.5,0.017820444444444444,0.016861333333333332
-46.5,0.01840088888888889,0.017776
-45.5,0.017852888888888887,0.017619111111111113
-44.5,0.017044444444444445,0.017435555555555555
-43.5,0.017628444444444447,0.016972444444444443
-42.5,0.018184888888888886,0.017935555555555555
-41.5,0.018935555555555556,0.019364444444444445
-40.5,0.020660444444444443,0.021258666666666665
-39.5,0.022699555555555556,0.022708888888888886
-38.5,0.02513422222222222,0.023916444444444445
-37.5,0.027054666666666668,0.025162222222222225
-36.5,0.027636888888888888,0.025992444444444443
-35.5,0.026949333333333332,0.02532
-34.5,0.026329333333333333,0.024995555555555556
-33.5,0.025598666666666665,0.024561777777777776
-32.5,0.025296000000000003,0.023787999999999997
-31.5,0.024852444444444444,0.023275555555555556
-30.5,0.025980444444444445,0.02408222222222222
-29.5,0.028209777777777778,0.02588711111111111
-28.5,0.03084711111111111,0.027159111111111113
-27.5,0.03332,0.028420444444444443
-26.5,0.034994222222222225,0.029236
-25.5,0.035687111111111114,0.030249333333333333
-24.5,0.03517911111111111,0.030714666666666668
-23.5,0.03445022222222222,0.030426222222222223
-22.5,0.03260844444444445,0.030535555555555555
-21.5,0.03210355555555556,0.030848444444444446
-20.5,0.03277644444444444,0.032113777777777776
-19.5,0.034334222222222224,0.03406488888888889
-18.5,0.036336,0.03828044444444444
-17.5,0.042070222222222224,0.045651555555555556
-16.5,0.052676,0.05890133333333333
-15.5,0.06847511111111111,0.08024044444444443
-14.5,0.09181555555555555,0.11418488888888889
-13.5,0.12909066666666666,0.16405777777777777
-12.5,0.18600844444444445,0.234928
-11.5,0.26554533333333336,0.32861066666666666
-10.5,0.3702995555555556,0.4386871111111111
-9.5,0.49179155555555554,0.5548297777777778
-8.5,0.6276106666666667,0.6639431111111112
-7.5,0.7636391111111112,0.7594173333333333
-6.5,0.8773013333333333,0.832568
-5.5,0.9514928888888889,0.8881697777777777
-4.5,0.9889204444444445,0.9247057777777777
-3.5,0.9952208888888889,0.9493097777777777
-2.5,0.9837622222222222,0.9602275555555555
-1.5,0.961052,0.9628551111111111
-0.5,0.9333982222222222,0.9597004444444445
0.5,0.9113853333333334,0.9483244444444444
1.5,0.9004711111111111,0.9377026666666667
2.5,0.8983586666666666,0.9257453333333333
3.5,0.9103217777777777,0.9100022222222222
4.5,0.9183893333333333,0.8928711111111111
5.5,0.9166706666666666,0.8626866666666667
6.5,0.8900302222222222,0.8247680000000001
7.5,0.8346146666666666,0.7758142222222222
8.5,0.748208,0.7102382222222222
9.5,0.6366364444444444,0.6309573333333333
10.5,0.5123924444444444,0.5353115555555555
11.5,0.3882688888888889,0.43448133333333333
12.5,0.28302044444444446,0.33383288888888885
13.5,0.2020231111111111,0.24331199999999997
14.5,0.14372755555555558,0.17059022222222223
15.5,0.10268622222222222,0.11919644444444444
16.5,0.07408933333333334,0.08322577777777777
17.5,0.05318755555555556,0.058783555555555554
18.5,0.03946355555555556,0.04349022222222222
19.5,0.03105511111111111,0.03204088888888889
20.5,0.024972444444444446,0.02534933333333333
21.5,0.021500444444444444,0.020355111111111112
22.5,0.019544000000000002,0.016882666666666667
23.5,0.01792222222222222,0.015242222222222223
24.5,0.017024444444444443,0.014416
25.5,0.01677111111111111,0.014312444444444444
26.5,0.016832888888888887,0.013647555555555555
27.5,0.015863555555555558,0.013522222222222222
28.5,0.015333333333333334,0.012454666666666666
29.5,0.014799555555555555,0.012364444444444445
30.5,0.014561333333333334,0.012396444444444444
31.5,0.01416311111111111,0.012196444444444446
32.5,0.014313333333333332,0.011822666666666667
33.5,0.01379511111111111,0.01166888888888889
34.5,0.013205333333333333,0.011398222222222223
35.5,0.013074222222222221,0.011062666666666667
36.5,0.013188,0.010650666666666666
37.5,0.012892,0.010319111111111112
38.5,0.012377333333333332,0.010191555555555554
39.5,0.012143111111111111,0.010000444444444445
40.5,0.011852,0.010354666666666667
41.5,0.011681777777777779,0.010164444444444445
42.5,0.011798666666666667,0.010309333333333334
43.5,0.012166222222222222,0.010638222222222223
44.5,0.012471555555555555,0.011280444444444445
45.5,0.012988888888888888,0.011673333333333334
46.5,0.013738666666666668,0.011581777777777778
47.5,0.013375555555555555,0.011541333333333334
48.5,0.012833777777777777,0.011477777777777778
49.5,0.012126222222222222,0.011248000000000001
50.5,0.012410666666666667,0.011008444444444446
51.5,0.01339111111111111,0.011007555555555557
52.5,0.013958222222222223,0.011553333333333332
53.5,0.014513333333333333,0.012304444444444444
54.5,0.015105777777777779,0.013049333333333335
55.5,0.016123111111111112,0.013868
56.5,0.01617022222222222,0.013991555555555556
57.5,0.016573333333333332,0.014062666666666666
58.5,0.017324,0.014414666666666668
59.5,0.018094222222222223,0.015132444444444443
60.5,0.017798666666666664,0.014813333333333335
61.5,0.01666977777777778,0.014788444444444444
62.5,0.01648088888888889,0.014356444444444444
63.5,0.016883555555555554,0.013908888888888889
64.5,0.016956000000000002,0.01367688888888889
65.5,0.01719022222222222,0.014038222222222221
66.5,0.01701288888888889,0.014449333333333333
67.5,0.017781777777777775,0.014632
68.5,0.018035999999999996,0.014932444444444444
69.5,0.01859111111111111,0.014708444444444444
70.5,0.018101777777777776,0.014198222222222221
71.5,0.017228,0.013396888888888889
72.5,0.015401333333333333,0.012676888888888889
73.5,0.014312444444444444,0.012022222222222222
74.5,0.013491999999999999,0.011588
