chi,mean_epsilon,std_epsilon,n_sequences
0.0,45.487890775673584,2.5470018720771326,1000
0.05,42.61562228182195,2.3330908175135745,1000
0.1,39.41893396209846,2.241082718914556,1000
0.15,36.089639052318226,2.343339789720987,1000
0.2,32.48099513567805,2.766272371177958,1000
0.25,29.388627541496916,2.464763108755704,1000
0.3,25.86064465829001,2.65450990712935,1000
0.35,22.031418972710537,2.8908152719626745,1000
0.4,17.758698801146032,2.9717800700162607,1000
0.45,14.083624745294653,2.7725391119033533,1000
0.5,8.985894672920452,0.7015441601440761,1000
0.55,-4.529319444829926,1.4202441381531516,1000
0.6,-16.928061329680162,4.511016185011753,1000
0.65,-23.128775184709557,2.3294431369007085,1000
0.7,-30.042255816707026,1.2772846440856092,1000
0.75,-37.41970061478597,0.9291606204749596,1000
0.8,-44.74618597102546,0.8508667450653005,1000
0.85,-51.827746413571525,0.8172690307655013,1000
0.9,-58.38511081366347,0.9526402477772594,1000
0.95,-64.41122327420905,1.1189309604035154,1000
1.0,-68.36849966121504,1.4617753741912194,1000
