label,time,seqs,mem
a100,"[7.59997034072876, 12.60930848121643, 20.58502173423767, 35.232821226119995, 65.40824222564697, 125.68272876739502]","[25,50,100,200,400,800]","[91.69792, 91.69792, 121.190912, 237.546752, 469.645056, 941.387264]"
h100,"[6.529801845550537, 11.137597799301147, 17.790331602096558, 29.298476934432983, 55.28649139404297, 107.39207100868225]","[25,50,100,200,400,800]","[121.058048, 121.058048, 121.190912, 237.546496, 469.654272, 941.387264]"
quest13,"[16.48373532295227, 29.237732648849487, 55.725372076034546, 105.48611879348755, 203.47178435325623, 402.20684719085693]","[25,50,100,200,400,800]","[16.315116, 16.29717, 16.043102, 16.135621, 16.118201, 16.130764]"
