z,3a_idp1_intensity,3a_idp2_intensity,3a_idp3_intensity,3a_idp4_intensity,3b_idp1_intensity,3b_idp2_intensity,3b_idp3_intensity,3b_idp4_intensity
45.5,0.002537333,0.001111111,0,0,0,0,0.17044,0.153134667
46.5,0.002725778,0.001072,0,0,0,0,0.169642667,0.155017778
47.5,0.002655556,0.000975111,0,0,0,0,0.168307111,0.156249778
48.5,0.002695556,0.000910667,0,0,0,0,0.167707111,0.158217333
49.5,0.002556,0.000794667,0,0,0,0,0.166094667,0.159288889
50.5,0.002595556,0.000725778,0,0,0,0,0.165576444,0.158519111
51.5,0.002534667,0.000647556,0,0,0,0,0.166459111,0.159075556
52.5,0.002619111,0.000628444,0,0,0,0,0.163997333,0.158966222
53.5,0.002527111,0.000624889,0,0,0,0,0.163228,0.159618667
54.5,0.0026,0.000655111,0,0,0,0,0.163268444,0.159272
55.5,0.002638667,0.000727111,0,0,0,0,0.164841778,0.159946667
56.5,0.002712889,0.000700889,0,0,0,0,0.164151111,0.159279111
57.5,0.002804,0.000668889,0,0,0,0,0.164278667,0.158894667
58.5,0.002997333,0.000677333,0,0,0,0,0.164952444,0.159014667
59.5,0.002953333,0.000716444,0,0,0,0,0.163679111,0.159868889
60.5,0.002871111,0.000688,0,0,0,0,0.16428,0.16084
61.5,0.002752444,0.000711556,0,0,0,0,0.162546667,0.160621333
62.5,0.003013778,0.000911556,0,0,0,0,0.160976444,0.160897333
63.5,0.002913778,0.001188889,0,0,0,0,0.160230222,0.163028
64.5,0.002642667,0.001220889,0,0,0,0,0.159530222,0.164010667
65.5,0.002724889,0.001140889,0,0,0,0,0.158521778,0.164407556
66.5,0.003076889,0.001236889,0,0,0,0,0.157835111,0.164791111
67.5,0.003108889,0.001277778,0,0,0,0,0.156532444,0.165895111
68.5,0.003197333,0.001263556,0,0,0,0,0.155042667,0.166744
69.5,0.003119111,0.001220889,0,0,0,0,0.155488889,0.168052
70.5,0.002863111,0.001111111,0,0,0,0,0.155075556,0.169403111
71.5,0.002705778,0.000986222,0,0,0,0,0.153794222,0.171252889
72.5,0.002643556,0.001055111,0,0,0,0,0.153324889,0.171118222
73.5,0.002717778,0.001072444,0,0,0,0,0.152351111,0.168650222
74.5,0.002699556,0.001211111,0,0,0,0,0.150052444,0.166348
