z,idp1_intensity,idp2_intensity,rna_intensity
-74.5,0.003934222222222222,0.11326711111111111,0.09242222222222223
-73.5,0.00394,0.11314577777777778,0.09282
-72.5,0.004049777777777778,0.11603777777777778,0.09396844444444445
-71.5,0.004218666666666667,0.11907733333333334,0.09537155555555556
-70.5,0.004972888888888889,0.12131111111111112,0.0968991111111111
-69.5,0.005699111111111111,0.1262457777777778,0.09849111111111111
-68.5,0.006413333333333333,0.13026044444444443,0.09866711111111111
-67.5,0.006949777777777778,0.13279911111111112,0.10018755555555556
-66.5,0.0074333333333333335,0.135064,0.10120977777777779
-65.5,0.0073924444444444445,0.1329551111111111,0.10064355555555556
-64.5,0.007025333333333333,0.13093333333333335,0.10214222222222222
-63.5,0.006693777777777778,0.1310568888888889,0.10250444444444445
-62.5,0.006572444444444444,0.13121155555555555,0.10301822222222222
-61.5,0.006582666666666667,0.13054266666666667,0.10314133333333333
-60.5,0.006175555555555556,0.12802844444444444,0.10249022222222223
-59.5,0.005206666666666667,0.126056,0.10148933333333333
-58.5,0.004254666666666667,0.12482622222222221,0.09923111111111112
-57.5,0.004147111111111111,0.12499333333333333,0.09887733333333333
-56.5,0.004036444444444444,0.12360577777777777,0.09844933333333333
-55.5,0.003666222222222222,0.12282844444444443,0.09663777777777778
-54.5,0.003488888888888889,0.12441422222222223,0.09692044444444443
-53.5,0.003607111111111111,0.12521377777777778,0.09797955555555556
-52.5,0.003275111111111111,0.12747377777777777,0.09865022222222222
-51.5,0.003093777777777778,0.12827688888888888,0.09989511111111112
-50.5,0.003068888888888889,0.12774266666666667,0.10167599999999999
-49.5,0.0027897777777777777,0.12754844444444444,0.10287377777777777
-48.5,0.0022675555555555556,0.12766355555555556,0.10173422222222223
-47.5,0.0021355555555555555,0.128452,0.10063644444444445
-46.5,0.0019208888888888889,0.12933733333333333,0.09951511111111111
-45.5,0.0015826666666666667,0.1291728888888889,0.09848177777777778
-44.5,0.0013031111111111112,0.12841422222222224,0.0965288888888889
-43.5,0.0014053333333333333,0.12478222222222222,0.09564844444444445
-42.5,0.0016653333333333333,0.12287377777777778,0.09472755555555556
-41.5,0.0018413333333333333,0.12213733333333332,0.09481022222222223
-40.5,0.0020493333333333336,0.12147555555555556,0.09615911111111111
-39.5,0.0025035555555555557,0.12163111111111112,0.09744355555555556
-38.5,0.0029813333333333332,0.12256399999999999,0.09805911111111112
-37.5,0.0033564444444444444,0.12280577777777778,0.09850222222222223
-36.5,0.003865777777777778,0.12263644444444444,0.098692
-35.5,0.004318666666666667,0.12158533333333334,0.09867555555555556
-34.5,0.004766222222222222,0.12114977777777779,0.09797822222222223
-33.5,0.0050204444444444446,0.12173066666666665,0.09698533333333333
-32.5,0.005147111111111111,0.12146488888888889,0.09715377777777778
-31.5,0.005396444444444444,0.12333111111111111,0.09755822222222223
-30.5,0.0053560000000000005,0.12490311111111112,0.09767111111111111
-29.5,0.004575555555555556,0.12719155555555556,0.097148
-28.5,0.0037448888888888887,0.1289662222222222,0.09716133333333334
